x,y,landsat71_2
-59264.565225358834,-352235.872415971,48.8
-58664.565225358834,-352235.872415971,49.1575
-58064.565225358834,-352235.872415971,50.01
-57464.565225358834,-352235.872415971,53.1175
-56864.565225358834,-352235.872415971,57.0825
-56264.565225358834,-352235.872415971,86.0375
-55664.565225358834,-352235.872415971,123.035
-55064.565225358834,-352235.872415971,73.7
-54464.565225358834,-352235.872415971,69.4875
-53864.565225358834,-352235.872415971,71.485
-53264.565225358834,-352235.872415971,76.1525
-52664.565225358834,-352235.872415971,71.9025
-52064.565225358834,-352235.872415971,73.8725
-51464.565225358834,-352235.872415971,69.6575
-50864.565225358834,-352235.872415971,69.125
-50264.565225358834,-352235.872415971,73.5825
-49664.565225358834,-352235.872415971,68.2325
-49064.565225358834,-352235.872415971,68.5675
-48464.565225358834,-352235.872415971,70.385
-47864.565225358834,-352235.872415971,83.3925
-47264.565225358834,-352235.872415971,73.7375
-46664.565225358834,-352235.872415971,68.3475
-46064.565225358834,-352235.872415971,65.0125
-45464.565225358834,-352235.872415971,66.9825
-44864.565225358834,-352235.872415971,74.5925
-44264.565225358834,-352235.872415971,67.21
-43664.565225358834,-352235.872415971,70.435
-43064.565225358834,-352235.872415971,68.055
-42464.565225358834,-352235.872415971,65.49
-41864.565225358834,-352235.872415971,67.2925
-41264.565225358834,-352235.872415971,68.12
-40664.565225358834,-352235.872415971,62.955
-40064.565225358834,-352235.872415971,59.79
-39464.565225358834,-352235.872415971,59.295
-38864.565225358834,-352235.872415971,62.2275
-38264.565225358834,-352235.872415971,66.645
-37664.565225358834,-352235.872415971,60.995
-37064.565225358834,-352235.872415971,64.295
-36464.565225358834,-352235.872415971,61.985
-35864.565225358834,-352235.872415971,60.5625
-35264.565225358834,-352235.872415971,61.2925
-34664.565225358834,-352235.872415971,66.4075
-34064.565225358834,-352235.872415971,65.3575
-33464.565225358834,-352235.872415971,66.95
-32864.565225358834,-352235.872415971,70.6525
-32264.565225358834,-352235.872415971,71.125
-31664.565225358834,-352235.872415971,63.595
-31064.565225358834,-352235.872415971,65.8825
-30464.565225358834,-352235.872415971,73.38
-29864.565225358834,-352235.872415971,73.52
-29264.565225358834,-352235.872415971,68.0325
-28664.565225358834,-352235.872415971,66.19
-28064.565225358834,-352235.872415971,68.7125
-27464.565225358834,-352235.872415971,67.535
-26864.565225358834,-352235.872415971,64.5725
-26264.565225358834,-352235.872415971,65.595
-25664.565225358834,-352235.872415971,66.275
-25064.565225358834,-352235.872415971,70.015
-24464.565225358834,-352235.872415971,65.75
-23864.565225358834,-352235.872415971,62.1125
-23264.565225358834,-352235.872415971,62.905
-22664.565225358834,-352235.872415971,63.065
-22064.565225358834,-352235.872415971,70.3675
-21464.565225358834,-352235.872415971,82.4975
-20864.565225358834,-352235.872415971,100.3
-20264.565225358834,-352235.872415971,99.99
-19664.565225358834,-352235.872415971,91.285
-19064.565225358834,-352235.872415971,94.8675
-18464.565225358834,-352235.872415971,86.295
-17864.565225358834,-352235.872415971,75.43
-17264.565225358834,-352235.872415971,81.575
-16664.565225358834,-352235.872415971,68.3075
-16064.565225358834,-352235.872415971,72.6225
-15464.565225358834,-352235.872415971,71.06
-14864.565225358834,-352235.872415971,66.6375
-14264.565225358834,-352235.872415971,61.7775
-13664.565225358834,-352235.872415971,62.355
-13064.565225358834,-352235.872415971,65.5875
-12464.565225358834,-352235.872415971,63.78
-11864.565225358834,-352235.872415971,61.7425
-11264.565225358834,-352235.872415971,60.515
-10664.565225358834,-352235.872415971,55.5575
-10064.565225358834,-352235.872415971,57.0675
-9464.565225358834,-352235.872415971,60.71
-8864.565225358834,-352235.872415971,58.93
-8264.565225358834,-352235.872415971,57.065
-7664.565225358834,-352235.872415971,62.3075
-7064.565225358834,-352235.872415971,64.7275
-6464.565225358834,-352235.872415971,66.08
-5864.565225358834,-352235.872415971,52.775
-5264.565225358834,-352235.872415971,65.29
-4664.565225358834,-352235.872415971,64.2475
-4064.565225358834,-352235.872415971,80.195
-3464.565225358834,-352235.872415971,71.5525
-2864.565225358834,-352235.872415971,72.735
-2264.565225358834,-352235.872415971,62.3525
-1664.5652253588341,-352235.872415971,69.4525
-1064.5652253588341,-352235.872415971,58.025
-464.56522535883414,-352235.872415971,54.295
135.43477464116586,-352235.872415971,52.52
735.4347746411659,-352235.872415971,61.16
1335.4347746411659,-352235.872415971,57.3775
1935.4347746411659,-352235.872415971,57.6825
2535.434774641166,-352235.872415971,62.225
3135.434774641166,-352235.872415971,65.7525
3735.434774641166,-352235.872415971,62.7725
4335.434774641166,-352235.872415971,63.1925
4935.434774641166,-352235.872415971,63.9725
5535.434774641166,-352235.872415971,65.36
6135.434774641166,-352235.872415971,61.7075
6735.434774641166,-352235.872415971,62.28
